1C9..00	Sore throat symptom
1C9..11	Throat soreness
1C92.00	Has a sore throat
1C93.00	Persistent sore throat
1C9Z.00	Sore throat symptom NOS
2DC2.00	O/E - granular pharyngitis
AA12.00	Vincent's pharyngitis
H02..00	Acute pharyngitis
H02..11	Sore throat NOS
H02..12	Viral sore throat NOS
H02..13	Throat infection - pharyngitis
H020.00	Acute gangrenous pharyngitis
H021.00	Acute phlegmonous pharyngitis
H022.00	Acute ulcerative pharyngitis
H023.00	Acute bacterial pharyngitis
H023000	Acute pneumococcal pharyngitis
H023100	Acute staphylococcal pharyngitis
H023z00	Acute bacterial pharyngitis NOS
H024.00	Acute viral pharyngitis
H02z.00	Acute pharyngitis NOS
H121200	Granular pharyngitis
H121300	Hypertrophic pharyngitis
H121400	Pharyngitis keratosa
H121500	Pharyngitis sicca
H271100	Influenza with pharyngitis
Hyu0100	[X]Acute pharyngitis due to other specified organisms
