Week start (Monday)	Week end (Sunday)	Working days	Reason
2020-06-22	2020-06-28	5	
2020-06-15	2020-06-21	5	
2020-06-08	2020-06-14	5	
2020-06-01	2020-06-07	5	
2020-05-25	2020-05-31	4	Spring bank holiday
2020-05-18	2020-05-24	5	
2020-05-11	2020-05-17	5	
2020-05-04	2020-05-10	4	Early May bank holiday (VE day)
2020-04-27	2020-05-03	5	
2020-04-20	2020-04-26	5	
2020-04-13	2020-04-19	4	Easter Monday
2020-04-06	2020-04-12	4	Good Friday
2020-03-30	2020-04-05	5	
2020-03-23	2020-03-29	5	
2020-03-16	2020-03-22	5	
2020-03-09	2020-03-15	5	
2020-03-02	2020-03-08	5	
2020-02-24	2020-03-01	5	
2020-02-17	2020-02-23	5	
2020-02-10	2020-02-16	5	
2020-02-03	2020-02-09	5	
2020-01-27	2020-02-02	5	
2020-01-20	2020-01-26	5	
2020-01-13	2020-01-19	5	
2020-01-06	2020-01-12	5	
2019-12-30	2020-01-05	4	New Year's Day
2019-12-23	2019-12-29	3	Christmas and Boxing Day
2019-12-16	2019-12-22	5	
2019-12-09	2019-12-15	5	
2019-12-02	2019-12-08	5	
2019-11-25	2019-12-01	5	
2019-11-18	2019-11-24	5	
2019-11-11	2019-11-17	5	
2019-11-04	2019-11-10	5	
2019-10-28	2019-11-03	5	
2019-10-21	2019-10-27	5	
2019-10-14	2019-10-20	5	
2019-10-07	2019-10-13	5	
2019-09-30	2019-10-06	5	
2019-09-23	2019-09-29	5	
2019-09-16	2019-09-22	5	
2019-09-09	2019-09-15	5	
2019-09-02	2019-09-08	5	
2019-08-26	2019-09-01	4	Summer Bank Holiday
2019-08-19	2019-08-25	5	
2019-08-12	2019-08-18	5	
2019-08-05	2019-08-11	5	
2019-07-29	2019-08-04	5	
2019-07-22	2019-07-28	5	
2019-07-15	2019-07-21	5	
2019-07-08	2019-07-14	5	
2019-07-01	2019-07-07	5	
2019-06-24	2019-06-30	5	
2019-06-17	2019-06-23	5	
2019-06-10	2019-06-16	5	
2019-06-03	2019-06-09	5	
2019-05-27	2019-06-02	4	Spring bank holiday
2019-05-20	2019-05-26	5	
2019-05-13	2019-05-19	5	
2019-05-06	2019-05-12	4	Early May bank holiday
2019-04-29	2019-05-05	5	
2019-04-22	2019-04-28	4	Easter Monday
2019-04-15	2019-04-21	4	Good Friday
2019-04-08	2019-04-14	5	
2019-04-01	2019-04-07	5	
2019-03-25	2019-03-31	5	
2019-03-18	2019-03-24	5	
2019-03-11	2019-03-17	5	
2019-03-04	2019-03-10	5	
2019-02-25	2019-03-03	5	
2019-02-18	2019-02-24	5	
2019-02-11	2019-02-17	5	
2019-02-04	2019-02-10	5	
2019-01-28	2019-02-03	5	
2019-01-21	2019-01-27	5	
2019-01-14	2019-01-20	5	
2019-01-07	2019-01-13	5	
2018-12-31	2019-01-06	4	New Year's Day
2018-12-24	2018-12-30	3	Christmas and Boxing Day
2018-12-17	2018-12-23	5	
2018-12-10	2018-12-16	5	
2018-12-03	2018-12-09	5	
2018-11-26	2018-12-02	5	
2018-11-19	2018-11-25	5	
2018-11-12	2018-11-18	5	
2018-11-05	2018-11-11	5	
2018-10-29	2018-11-04	5	
2018-10-22	2018-10-28	5	
2018-10-15	2018-10-21	5	
2018-10-08	2018-10-14	5	
2018-10-01	2018-10-07	5	
2018-09-24	2018-09-30	5	
2018-09-17	2018-09-23	5	
2018-09-10	2018-09-16	5	
2018-09-03	2018-09-09	5	
2018-08-27	2018-09-02	4	Summer Bank Holiday
2018-08-20	2018-08-26	5	
2018-08-13	2018-08-19	5	
2018-08-06	2018-08-12	5	
2018-07-30	2018-08-05	5	
2018-07-23	2018-07-29	5	
2018-07-16	2018-07-22	5	
2018-07-09	2018-07-15	5	
2018-07-02	2018-07-08	5	
